Park Zdrojowy w Ciechocinku,"52,886158","18,782717"
Park Źródliska w Łodzi,"51,759022","19,478342"
Parki podjasnogórskie,"50,812500","19,102778"
Pawilon Czterech Kopuł,"51,108333","17,076111"
Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny w Pelplinie,"53,927675","18,694653"
Pergola we Wrocławiu,"51,109444","17,078333"
Pałac w Pakoszowie,"50,856636","15,627031"
Plac Wolności w Łodzi,"51,776800","19,454700"
Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny w Płocku,"52,541833","19,689861"
Zamek książąt mazowieckich w Płocku,"52,541417","19,688325"
Pomnik i amfiteatr na Górze Świętej Anny,"50,455278","18,160000"
Cmentarz Powązkowski w Warszawie,"52,251944","20,972778"
Racławice (powiat miechowski),"50,329722","20,232222"
Cerkiew św. Paraskewy w Radrużu,"50,176389","23,400833"
Ratusz w Sandomierzu,"50,679417","21,749361"
Rezerwat przyrody Morysin,"52,177211","21,096917"
Zamek w Rybnicy,"50,911860","15,619370"
Zamek w Rydzynie,"51,787369","16,671042"
Bazylika katedralna Narodzenia Najświętszej Maryi Panny w Sandomierzu,"50,676806","21,749167"
Kościół Nawrócenia św. Pawła Apostoła w Sandomierzu,"50,678472","21,739611"
Kościół św. Jakuba w Sandomierzu,"50,678056","21,740556"
Kościół św. Józefa w Sandomierzu,"50,681944","21,746389"
Kościół św. Michała Archanioła w Sandomierzu,"50,682861","21,749250"
Kościół Świętego Ducha w Sandomierzu,"50,681194","21,749417"
Sanktuarium pasyjno-maryjne w Kalwarii Zebrzydowskiej,"49,860306","19,670722"
Ogród Saski w Warszawie,"52,240278","21,008333"
Pałac Karola Scheiblera,"51,759444","19,474722"
Wieża książęca w Siedlęcinie,"50,935000","15,685556"
Skansen Archeologiczny „Karpacka Troja” w Trzcinicy,"49,732055","21,433178"
Skansen Łódzkiej Architektury Drewnianej,"51,745778","19,463972"
Twierdza Srebrnogórska,"50,574944","16,642861"
Stare Miasto (Płock),"52,544722","19,686389"
Stare Miasto (Toruń),"53,011420","18,611640"
Stare Miasto w Krakowie,"50,061667","19,937222"
Stare Miasto w Lublinie,"51,247750","22,567369"
Stare Miasto w Warszawie,"52,249800","21,012200"
Kolegiata Najświętszej Marii Panny Królowej Świata w Stargardzie,"53,336667","15,046667"
Bazylika Świętych Apostołów Piotra i Pawła w Strzegomiu,"50,959306","16,349750"
Kościół Świętej Trójcy i Najświętszej Marii Panny w Strzelnie,"52,629722","18,178889"
Rotunda św. Prokopa w Strzelnie,"52,630278","18,179167"
Opactwo Cystersów w Sulejowie,"51,364583","19,878667"
Kościół św. Michała Archanioła w Szalowej,"49,682222","21,021597"
Sztolnia Czarnego Pstrąga,"50,430256","18,800569"
Park Marszałka Edwarda Rydza-Śmigłego w Warszawie,"52,227778","21,034167"
Śródmieście (Gdynia),"54,523217","18,538228"
Katedra św. Stanisława i św. Wacława w Świdnicy,"50,841111","16,491944"
Kościół Pokoju w Świdnicy,"50,846250","16,491639"
Bazylika Nawiedzenia Najświętszej Maryi Panny w Świętej Lipce,"54,025678","21,214578"
Bazylika na Świętym Krzyżu,"50,869167","21,052500"
Tężnie w Ciechocinku,"52,886111","18,782222"
Bazylika i sanktuarium św. Jadwigi w Trzebnicy,"51,309167","17,066667"
Twierdza Wisłoujście,"54,394764","18,680856"
Opactwo Benedyktynów w Tyńcu,"50,019444","19,801944"
Park Ujazdowski w Warszawie,"52,221944","21,025556"
Ulica Piotrkowska w Łodzi,"51,776111","19,454722"
Ulica Stanisława Moniuszki w Łodzi,"51,768200","19,458900"
Opactwo Cystersów w Wąchocku,"51,075442","21,015536"
Westerplatte,"54,408516","18,675385"
Kopalnia soli Wieliczka,"49,983472","20,051639"
Pałac w Wilanowie,"52,165000","21,089444"
Ogród w Wilanowie,"52,166111","21,091389"
Zabytkowa Kopalnia Srebra,"50,425900","18,849800"
Zamek Królewski na Wawelu,"50,054530","19,936120"
Zamek Sokolec,"50,865278","15,868056"
Zamek w Karpnikach,"50,846528","15,849944"
Zamek w Krasiczynie,"49,776111","22,649167"
Zamek w Łańcucie,"50,068050","22,233560"
Zamek w Malborku,"54,039722","19,027778"
Zamek w Marczycach,"50,835411","15,723442"
Zespół Stacji Filtrów w Warszawie,"52,221667","20,995278"
Zespół staromiejski Torunia,"53,011420","18,611640"
Kościół Wniebowzięcia Najświętszej Maryi Panny w Żaganiu,"51,615833","15,318889"
Żyrardów,"52,054167","20,444444"
